TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,Year
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: F,2,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: F,1,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: F,0,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 18- 34,45,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 18- 34,44,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 18- 34,6,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 18- 34,4,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 18- 34,2,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 35- 54,51,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 35- 54,42,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 35- 54,4,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 35- 54,1,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 35- 54,1,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 55+,71,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 55+,26,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 55+,2,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 55+,0,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 55+,1,2019
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,NOVA SCOTIA %,60,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,NOVA SCOTIA %,31,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,NOVA SCOTIA %,6,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,NOVA SCOTIA %,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,NOVA SCOTIA %,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Halifax,56,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Halifax,32,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Halifax,8,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Halifax,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Halifax,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Cape Breton,65,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Cape Breton,27,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Cape Breton,4,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Cape Breton,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Cape Breton,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Rest of mainland,63,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Rest of mainland,30,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Rest of mainland,6,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Rest of mainland,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Rest of mainland,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: M,57,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: M,33,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: M,7,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: M,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: M,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: F,64,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: F,28,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: F,6,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: F,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: F,0,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 18- 34,38,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 18- 34,48,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 18- 34,13,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 18- 34,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 18- 34,0,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 35- 54,61,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 35- 54,30,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 35- 54,6,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 35- 54,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 35- 54,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 55+,74,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 55+,21,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 55+,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 55+,1,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 55+,2,2018
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,NOVA SCOTIA %,64,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,NOVA SCOTIA %,29,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,NOVA SCOTIA %,5,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,NOVA SCOTIA %,2,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,NOVA SCOTIA %,1,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Halifax,58,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Halifax,33,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Halifax,5,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Halifax,3,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Halifax,2,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Cape Breton,76,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Cape Breton,20,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Cape Breton,3,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Cape Breton,1,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Cape Breton,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Rest of mainland,65,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Rest of mainland,27,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Rest of mainland,6,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Rest of mainland,2,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Rest of mainland,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: M,66,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: M,25,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: M,5,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: M,3,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: M,1,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: F,62,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: F,32,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: F,4,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: F,2,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: F,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 18- 34,50,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 18- 34,32,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 18- 34,10,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 18- 34,5,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 18- 34,3,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 35- 54,57,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 35- 54,35,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 35- 54,6,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 35- 54,3,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 35- 54,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 55+,79,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 55+,20,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 55+,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 55+,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 55+,0,2017
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,NOVA SCOTIA %,56,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,NOVA SCOTIA %,33,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,NOVA SCOTIA %,8,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,NOVA SCOTIA %,2,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,NOVA SCOTIA %,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Halifax,48,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Halifax,38,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Halifax,13,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Halifax,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Halifax,0,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Cape Breton,69,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Cape Breton,19,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Cape Breton,7,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Cape Breton,4,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Cape Breton,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,REGION: Rest of mainland,60,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,REGION: Rest of mainland,32,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,REGION: Rest of mainland,4,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,REGION: Rest of mainland,2,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,REGION: Rest of mainland,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: M,52,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: M,34,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: M,10,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: M,4,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: M,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,GENDER: F,61,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,GENDER: F,32,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,GENDER: F,6,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,GENDER: F,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,GENDER: F,1,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 18- 34,40,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 18- 34,44,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 18- 34,13,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 18- 34,3,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 18- 34,0,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 35- 54,54,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 35- 54,36,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 35- 54,7,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 35- 54,2,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 35- 54,0,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Very appealing,AGE: 55+,68,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Somewhat appealing,AGE: 55+,23,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not very appealing,AGE: 55+,5,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Not at all appealing,AGE: 55+,2,2016
"How appealing is Nova Scotia to you personally as a vacation destination? Is it very appealing, somewhat appealing, not very appealing, or not at all appealing?",Don’t know/Not sure,AGE: 55+,2,2016
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,NOVA SCOTIA %,47,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,NOVA SCOTIA %,45,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,NOVA SCOTIA %,6,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,NOVA SCOTIA %,1,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,NOVA SCOTIA %,1,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Halifax,43,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Halifax,47,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Halifax,8,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Halifax,1,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Halifax,1,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Cape Breton,51,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Cape Breton,44,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Cape Breton,2,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Cape Breton,2,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Don’t know/Not sure,REGION: Cape Breton,2,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely agree,REGION: Rest of mainland,51,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly agree,REGION: Rest of mainland,42,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Mostly disagree,REGION: Rest of mainland,5,2023
"Please indicate the extent to which you agree or disagree with the following statement? Do you completely agree, mostly agree, mostly disagree, or completely disagree: I am proud of what Nova Scotia offers to visitors.",Completely disagree,REGION: Rest of mainland,1,2023
